Date,Open,High,Low,Close,Adj Close,Volume
18-11-2020,12860.10,12948.85,12819.35,12938.25,12938.25,731300
19-11-2020,12839.50,12963.00,12745.75,12771.70,12771.70,768800
20-11-2020,12813.40,12892.45,12730.25,12859.05,12859.05,664000
23-11-2020,12960.30,12968.85,12825.70,12926.45,12926.45,633100
24-11-2020,13002.60,13079.10,12978.00,13055.15,13055.15,571900
25-11-2020,13130.00,13145.85,12833.65,12858.40,12858.40,679000
26-11-2020,12906.45,13018.00,12790.40,12987.00,12987.00,549800
27-11-2020,13012.05,13035.30,12914.30,12968.95,12968.95,1162400
01-12-2020,13062.20,13128.40,12962.80,13109.05,13109.05,583600
02-12-2020,13121.40,13128.50,12983.55,13113.75,13113.75,717700
03-12-2020,13215.30,13216.60,13107.90,13133.90,13133.90,713700
04-12-2020,13177.40,13280.05,13152.85,13258.55,13258.55,640500
07-12-2020,13264.85,13366.65,13241.95,13355.75,13355.75,591700
08-12-2020,13393.85,13435.45,13311.05,13392.95,13392.95,543200
09-12-2020,13458.10,13548.90,13449.60,13529.10,13529.10,502600
10-12-2020,13488.50,13503.55,13399.30,13478.30,13478.30,553400
11-12-2020,13512.30,13579.35,13402.85,13513.85,13513.85,787700
14-12-2020,13571.45,13597.50,13472.45,13558.15,13558.15,558400
15-12-2020,13547.20,13589.65,13447.05,13567.85,13567.85,497600
16-12-2020,13663.10,13692.35,13606.45,13682.70,13682.70,462200
17-12-2020,13713.55,13773.25,13673.55,13740.70,13740.70,416000
